UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,Id,DEST_AIRPORT_ID,Target,MONTH
Unijet,12240,HUY,10581,BGR,4
Air Hamburg Luftverkehrsgesellschaft mbH,13043,LOS,15167,TEB,4
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,16823,CO6,12574,TN8,9
"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",13536,MVM,14081,PGA,9
VistaJet Limited,12343,INL,15618,VNY,8
VistaJet Limited,13719,NOC,14320,PWK,8
Avjet Corporation,13728,NPA,12436,IYK,5
Elitavia Malta Limited,11172,CTU,13303,MIA,8
VistaJet Limited,16782,DSS,10540,BED,7
VistaJet Limited,16768,QSR,10257,ALB,7
Tradewind Aviation,13450,MPV,10010,1B1,8
Tradewind Aviation,16867,N6Y,11728,FOK,8
Tradewind Aviation,16585,NJ5,13731,NPT,8
"Jet Aviation Flight Services, Inc.",16422,GUF,10423,AUS,4
Allegiant Air,15624,VPS,11481,ECP,6
Tradewind Aviation,15203,THV,12197,HPN,2
"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",14091,PGS,14081,PGA,10
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,12153,HLG,15628,VRB,2
VistaJet Limited,15493,USH,12264,IAD,1
Aeromexico,15632,VSA,12266,IAH,9
Tradewind Aviation,10663,BLF,15167,TEB,4
Avjet Corporation,13702,NLC,15304,TPA,3
"Jet Aviation Flight Services, Inc.",14938,SOP,13232,MDW,5
Chartright Air Inc.,10933,CEF,16271,YYZ,5
Kenmore Air Harbor,15999,YAZ,10559,BFI,7
Kenmore Air Harbor,16211,YTP,13002,LKE,7
Grant Aviation,13704,NLG,10917,CDB,3
Chartright Air Inc.,11085,CNM,16173,YQR,6
Horizon Air,10275,ALW,14252,PSC,2
London Air Services Limited,16251,YXT,13796,OAK,3
"ADVANCED AIR, LLC",13194,MCE,12127,HHR,9
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,13338,MJX,14122,PIT,8
VistaJet Limited,11017,CIY,10581,BGR,9
VistaJet Limited,14860,SKP,11433,DTW,9
"Scott Aviation, LLC  d/b/a  Silver Air",15956,XWW,11298,DFW,10
Tradewind Aviation,16051,YFC,13296,MHT,5
"Scott Aviation, LLC  d/b/a  Silver Air",12300,IGR,14683,SAT,7
Tradewind Aviation,14025,PBG,12197,HPN,10
VistaJet Limited,10710,BOD,14685,SAV,5
Wright Air Service,10039,A26,11630,FAI,8
"Scott Aviation, LLC  d/b/a  Silver Air",15714,WAR,14577,ROG,9
VistaJet Limited,14889,SMA,10540,BED,8
Key Lime Air Corporation,14534,RIW,14812,SHR,4
Tradewind Aviation,16856,VJI,12197,HPN,5
"ADVANCED AIR, LLC",16843,1CA,12127,HHR,1
Chartright Air Inc.,16156,YPQ,13476,MRY,8
"Scott Aviation, LLC  d/b/a  Silver Air",16445,ID1,10559,BFI,8
"Scott Aviation, LLC  d/b/a  Silver Air",14092,PGV,15618,VNY,8
"Jet Aviation Flight Services, Inc.",16306,ZLO,12197,HPN,1
"Jet Aviation Flight Services, Inc.",13559,MXL,12892,LAX,2
"ADVANCED AIR, LLC",11029,CKE,12127,HHR,7
"Global Jet Luxembourg, Sa",11586,ESB,15304,TPA,3
VistaJet Limited,14991,SSA,13898,OPF,2
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,12460,JCI,12264,IAD,3
Tropic Ocean Airways LLC,13709,NMC,13439,MPB,3
Scott Air LLC dba Island Air Express,16157,YPR,12819,KTN,2
VistaJet Limited,14297,PUQ,13303,MIA,3
Bering Air Inc.,14313,PVS,13873,OME,3
Scott Air LLC dba Island Air Express,16309,ZMT,12819,KTN,6
Key Lime Air Corporation,14812,SHR,14534,RIW,7
Svenskt Industriflyg AB,12694,KIR,12197,HPN,7
FAI rent-a-jet AG,16859,GKE,11487,EDF,6
"Scott Aviation, LLC  d/b/a  Silver Air",15769,WJF,15618,VNY,1
"Seaborne Virgin Islands, Inc.",14992,SSB,14945,SPB,10
"Jet Aviation Flight Services, Inc.",11838,GA3,15167,TEB,2
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,11274,DBQ,13930,ORD,7
Envoy Air,16293,ZCL,13061,LRD,6
"Comlux Malta, Ltd.",11549,EMD,10581,BGR,7
SkyWest Airlines Inc.,10967,CGI,13344,MKG,7
VistaJet Limited,11954,GOA,10325,APA,6
